,0,1,2,3,4,5,6,7,8,9
17,0.008812349,0.008812376,0.008812345,0.008812323,0.008812352,0.008812344,0.008812343,0.0088123055,0.008812199,0.00881238
18,0.007932777,0.007932796,0.007932762,0.007932737,0.007932761,0.007932766,0.0079327775,0.007932718,0.00793259,0.007932797
19,0.0070917266,0.0070917555,0.007091697,0.0070916647,0.0070917145,0.0070917183,0.007091712,0.007091635,0.0070915013,0.007091753
20,0.010779349,0.010779355,0.0107794395,0.010779434,0.010779344,0.0107793305,0.010779439,0.010779473,0.010779696,0.010779355
21,0.0107063055,0.010706369,0.01070635,0.010706348,0.010706281,0.010706267,0.010706331,0.0107063465,0.010706275,0.010706372
22,0.010538227,0.010538318,0.010538241,0.010538232,0.0105382,0.010538189,0.010538216,0.01053821,0.010537958,0.010538323
23,0.010357564,0.010357653,0.010357563,0.010357539,0.01035754,0.010357533,0.010357538,0.010357514,0.010357203,0.010357655
24,0.010218155,0.010218214,0.010218135,0.010218112,0.01021813,0.0102181295,0.010218119,0.010218085,0.010217798,0.010218215
25,0.010140482,0.010140509,0.010140453,0.010140441,0.010140464,0.01014046,0.010140451,0.010140414,0.010140211,0.010140512
26,0.010115381,0.01011538,0.010115353,0.010115346,0.010115364,0.010115354,0.010115355,0.010115336,0.0101152435,0.010115378
27,0.010120178,0.010120153,0.010120146,0.010120143,0.0101201655,0.010120168,0.0101201525,0.010120162,0.0101201795,0.010120154
28,0.010125925,0.010125891,0.0101258885,0.010125877,0.010125911,0.010125911,0.010125881,0.010125917,0.010126002,0.0101258885
29,0.01011018,0.010110161,0.010110142,0.0101101305,0.010110166,0.010110166,0.010110136,0.010110185,0.010110233,0.010110158
30,0.010065444,0.010065423,0.010065402,0.010065382,0.010065431,0.010065424,0.010065407,0.010065441,0.010065404,0.010065431
31,0.009997812,0.009997813,0.009997768,0.009997751,0.009997791,0.00999778,0.0099977795,0.009997797,0.009997665,0.009997812
32,0.009920779,0.009920797,0.009920748,0.009920736,0.009920755,0.009920751,0.009920759,0.009920757,0.009920561,0.0099208
33,0.0098490305,0.0098490575,0.009849009,0.009848993,0.009849004,0.009848999,0.009849009,0.009849003,0.009848774,0.009849068
34,0.009791432,0.0097914655,0.009791412,0.009791398,0.009791409,0.009791406,0.009791415,0.009791399,0.009791195,0.009791469
35,0.009749319,0.009749345,0.009749301,0.009749286,0.009749315,0.009749306,0.009749307,0.009749289,0.0097491415,0.009749345
36,0.009717083,0.009717096,0.009717069,0.0097170435,0.009717081,0.009717079,0.009717069,0.009717039,0.009716965,0.009717089
37,0.009686457,0.009686453,0.009686437,0.009686411,0.009686457,0.009686453,0.009686436,0.009686411,0.0096863825,0.009686455
38,0.009651068,0.009651071,0.00965105,0.009651018,0.009651073,0.0096510695,0.009651041,0.009651032,0.009651001,0.009651073
39,0.009610819,0.009610822,0.009610799,0.009610763,0.009610823,0.009610819,0.009610791,0.0096107945,0.009610736,0.009610831
40,0.0095691215,0.009569125,0.009569094,0.009569066,0.009569133,0.009569124,0.009569088,0.009569104,0.009569007,0.009569131
41,0.0095282355,0.00952824,0.009528207,0.009528179,0.0095282495,0.009528236,0.00952821,0.009528229,0.009528089,0.009528251
42,0.009488235,0.009488259,0.009488219,0.009488195,0.009488248,0.009488239,0.009488213,0.009488228,0.009488065,0.009488266
43,0.0094476845,0.009447712,0.009447658,0.009447648,0.009447683,0.009447672,0.009447662,0.009447666,0.009447503,0.009447712
44,0.009405307,0.009405332,0.009405281,0.009405276,0.009405293,0.009405286,0.009405283,0.009405275,0.009405125,0.00940533
45,0.009361231,0.009361251,0.009361209,0.009361201,0.009361215,0.009361208,0.009361212,0.009361193,0.009361053,0.009361248
46,0.009316987,0.009316996,0.009316964,0.009316945,0.00931697,0.009316966,0.009316967,0.009316944,0.0093168225,0.009316994
47,0.009274911,0.009274915,0.009274892,0.00927487,0.009274902,0.0092749,0.00927489,0.009274876,0.009274771,0.009274916
48,0.009236941,0.009236946,0.009236916,0.009236904,0.009236936,0.009236935,0.009236918,0.009236916,0.009236818,0.009236947
49,0.009202945,0.009202958,0.009202926,0.009202914,0.009202948,0.009202941,0.009202922,0.00920293,0.009202834,0.009202959
50,0.009170956,0.009170977,0.009170938,0.009170925,0.009170956,0.009170952,0.009170934,0.009170946,0.009170837,0.009170976
51,0.009137561,0.00913758,0.009137545,0.00913753,0.009137555,0.009137548,0.009137538,0.009137543,0.009137418,0.009137582
52,0.009100427,0.009100447,0.009100407,0.009100399,0.009100412,0.009100409,0.009100405,0.009100403,0.009100263,0.0091004465
53,0.0090595605,0.009059582,0.009059546,0.009059532,0.009059543,0.009059542,0.009059536,0.009059533,0.009059392,0.009059578
54,0.009017242,0.009017259,0.0090172235,0.009017213,0.009017225,0.009017222,0.009017223,0.009017211,0.0090170745,0.009017259
55,0.008976623,0.008976632,0.008976603,0.008976587,0.008976612,0.008976604,0.008976601,0.008976592,0.008976465,0.008976631
56,0.008939534,0.008939537,0.008939511,0.008939495,0.00893952,0.00893952,0.008939509,0.008939501,0.008939399,0.008939538
57,0.008905314,0.008905317,0.008905292,0.00890528,0.0089053055,0.008905304,0.008905289,0.008905288,0.008905197,0.008905319
58,0.0088721635,0.008872176,0.008872144,0.00887213,0.008872165,0.008872157,0.008872139,0.008872139,0.0088720545,0.008872174
59,0.008838577,0.0088385865,0.008838559,0.008838545,0.008838583,0.008838568,0.008838557,0.008838555,0.008838464,0.008838593
60,0.0088037,0.008803706,0.008803673,0.008803671,0.008803699,0.008803691,0.008803673,0.008803677,0.008803574,0.008803707
61,0.008767463,0.008767462,0.008767432,0.008767437,0.008767456,0.00876745,0.008767422,0.008767438,0.008767322,0.008767465
62,0.008730397,0.008730396,0.008730366,0.008730369,0.008730386,0.008730385,0.0087303575,0.008730371,0.0087302495,0.008730396
63,0.00869341,0.008693412,0.008693379,0.008693374,0.008693399,0.008693397,0.008693377,0.008693381,0.008693261,0.008693415
64,0.008657295,0.008657311,0.008657279,0.008657267,0.0086572915,0.0086572915,0.008657277,0.008657275,0.008657163,0.008657308
65,0.008622424,0.00862244,0.008622413,0.008622399,0.008622426,0.008622421,0.008622409,0.008622398,0.008622302,0.008622439
66,0.008588398,0.00858842,0.008588396,0.008588381,0.008588408,0.0085884025,0.008588391,0.008588373,0.008588292,0.008588422
