,gender,iteration,loss,elapsed_time,steps,steps interval,rep
82,female,843,1.9984225e-05,141.07244753837585,70,250,1
83,female,746,1.9987525e-05,124.21052837371826,80,250,1
84,female,838,1.9987488e-05,139.80089902877808,90,250,1
85,female,676,1.9999115e-05,112.80350756645203,100,250,1
86,female,697,1.9986493e-05,116.5563611984253,110,250,1
87,female,735,1.9985264e-05,122.9138708114624,120,250,1
88,female,697,1.9993513e-05,115.93024754524231,130,250,1
89,female,684,1.9982905e-05,114.03705477714539,140,250,1
90,female,701,1.9988165e-05,116.63029932975769,150,250,1
91,female,679,1.9987217e-05,113.38509440422058,160,250,1
92,female,719,1.9989175e-05,119.7820303440094,170,250,1
93,female,735,1.9989166e-05,123.58678197860718,180,250,1
94,female,739,1.9994288e-05,129.15786862373352,190,250,1
95,female,691,1.9985102e-05,120.38911175727844,200,250,1
96,female,737,1.998888e-05,125.81995868682861,210,250,1
97,female,735,1.9996316e-05,122.94185376167297,220,250,1
98,female,715,1.998966e-05,125.03728866577148,230,250,1
99,female,818,1.998448e-05,142.7838363647461,240,250,1
100,female,1033,1.9991274e-05,174.9256296157837,50,300,1
101,female,864,1.9991645e-05,144.37558770179749,60,300,1
102,female,808,1.9987017e-05,134.61334466934204,70,300,1
103,female,823,1.9994102e-05,137.33376812934875,80,300,1
104,female,794,1.9992227e-05,132.3362843990326,90,300,1
105,female,763,1.9986825e-05,127.56980729103088,100,300,1
106,female,734,1.9984693e-05,122.46774411201477,110,300,1
107,female,772,1.9993979e-05,128.94637370109558,120,300,1
108,female,866,1.9996765e-05,144.05544567108154,130,300,1
109,female,846,1.9989533e-05,141.13838744163513,140,300,1
110,female,718,1.9991687e-05,119.83297157287598,150,300,1
111,female,741,1.9990239e-05,123.5331449508667,160,300,1
112,female,727,1.9985304e-05,120.93267846107483,170,300,1
113,female,736,1.9986e-05,128.60192704200745,180,300,1
114,female,749,1.9998653e-05,131.9561276435852,190,300,1
115,female,744,1.9994688e-05,128.28419852256775,200,300,1
116,female,799,1.999069e-05,133.22110414505005,210,300,1
117,female,750,1.9992875e-05,124.80958485603333,220,300,1
118,female,798,1.9990952e-05,132.63157272338867,230,300,1
119,female,800,1.999844e-05,132.97963404655457,240,300,1
120,female,925,1.9990901e-05,154.74874544143677,50,200,2
121,female,693,1.99955e-05,115.56024885177612,60,200,2
122,female,759,1.9989895e-05,126.69662809371948,70,200,2
123,female,744,1.9988543e-05,124.06509923934937,80,200,2
124,female,697,1.9984982e-05,116.48060369491577,90,200,2
125,female,707,1.9992389e-05,118.2196741104126,100,200,2
126,female,711,1.9996205e-05,118.51001048088074,110,200,2
127,female,734,1.9996925e-05,122.41250014305115,120,200,2
128,female,703,1.9978015e-05,117.3135929107666,130,200,2
129,female,737,1.9983356e-05,122.89742755889893,140,200,2
130,female,767,1.9999354e-05,127.4316041469574,150,200,2
131,female,683,1.999488e-05,113.91835570335388,160,200,2
132,female,786,1.999698e-05,130.8057324886322,170,200,2
133,female,695,1.9981842e-05,116.49327278137207,180,200,2
134,female,688,1.9965817e-05,114.70127558708191,190,200,2
135,female,728,1.9990192e-05,121.36955285072327,200,200,2
136,female,718,1.999618e-05,119.79471445083618,210,200,2
137,female,763,1.9999105e-05,127.45911288261414,220,200,2
138,female,734,1.9996025e-05,122.66369009017944,230,200,2
139,female,894,1.9989566e-05,148.84012508392334,240,200,2
140,female,1123,1.9996698e-05,187.1047797203064,50,250,2
141,female,930,1.9993486e-05,154.98538756370544,60,250,2
142,female,829,1.9984134e-05,138.65023183822632,70,250,2
143,female,745,1.9992414e-05,123.88784122467041,80,250,2
144,female,837,1.9989278e-05,139.14024901390076,90,250,2
145,female,658,1.998241e-05,109.57108688354492,100,250,2
146,female,717,1.9989104e-05,119.66886186599731,110,250,2
147,female,711,1.9986357e-05,118.87230968475342,120,250,2
148,female,828,1.9951633e-05,138.18996286392212,130,250,2
149,female,694,1.9996643e-05,115.65004277229309,140,250,2
150,female,675,1.999873e-05,112.58263778686523,150,250,2
151,female,668,1.9992658e-05,111.26241612434387,160,250,2
152,female,740,1.999026e-05,123.56069779396057,170,250,2
153,female,681,1.99905e-05,113.82436633110046,180,250,2
